event_id,start_time,end_time,phase,case_id,event_type,tool,action_summary,reason_summary,expected_result,observed_result,exit_code,duration_s,evidence_path,human_intervention,decision_scope
E0001,2026-07-12T03:47:13.492+08:00,2026-07-12T03:47:18.756+08:00,environment,NA,snapshot,git,Freeze Git and host metadata,Establish a pre-run reproducibility baseline,Capture HEAD branch status remote and host facts,HEAD ca5d566 on main; pre-existing AGENTS.md modification preserved,0,5.264,02-预注册与环境快照.md,false,within_plan
E0002,2026-07-12T03:47:20+08:00,2026-07-12T03:47:30+08:00,environment,NA,probe,sentaurus-vm-runner,Probe SSH Sentaurus and FlexNet,Confirm simulator availability before any run,VM reachable and license daemons healthy,VM reachable; Sentaurus W-2024.09; license server and snpslmd UP,0,10.412,02-预注册与环境快照.md,false,within_plan
E0003,2026-07-12T03:50:27+08:00,2026-07-12T03:51:30+08:00,preregistration,NA,freeze,filesystem,Create isolated roots and freeze baseline,Prevent overwrite and prove exact baseline lineage,Matching local and remote SHA-256 snapshots,All nine frozen files match local and remote hashes,0,63,02-预注册与环境快照.md,false,within_plan
E0005,2026-07-12T04:03:00+08:00,2026-07-12T04:06:46+08:00,smoke,S00_v100_let10_y3p5,run,sdevice,Run first HeavyIon syntax smoke,Verify syntax bias outputs and transient completion,Complete 2 ns with nonzero strike evidence,Run completed but saved states missed the finite generation pulse,0,113.46,private smoke attempt01,false,within_plan
E0006,2026-07-12T04:09:00+08:00,2026-07-12T04:10:00+08:00,smoke,S00_v100_let10_y3p5,tuning_decision,codex,Add strike-time snapshots,Capture finite generation without changing physics,Nonzero HeavyIonGeneration near 100 ps,Accepted after attempt02,0,60,private smoke attempt02,false,within_plan
E0007,2026-07-12T04:10:00+08:00,2026-07-12T04:13:00+08:00,smoke,S00_v100_let10_y3p5,run,sdevice,Run revised smoke,Close the remaining generation evidence gap,Valid 100 V 2 ns smoke with track evidence,Passed with peak generation 6.8313e29 cm-3 s-1 and 0-49.08 um depth,0,76.86,private smoke attempt02,false,within_plan
E0008,2026-07-12T04:27:00+08:00,2026-07-12T04:32:13+08:00,mesh,NA,run,sde,Generate formal SEB mesh,Use preregistered local refinement while preserving baseline interfaces,Valid dedicated track-core mesh,Passed with 31769 points and 62720 elements,0,13.21,private mesh manifest,false,within_plan
E0009,2026-07-12T04:35:00+08:00,2026-07-12T05:08:45+08:00,anchor,A01_v2500_let15_y3p5,run,sdevice,Run A01 attempt01,Execute first paper anchor in mandatory order,Reach 1 us or physical break,Stopped at 33.74 ns and classified INDETERMINATE time_window_short,143,2025,private A01 attempt01,false,within_plan
E0010,2026-07-12T05:09:00+08:00,2026-07-12T05:12:00+08:00,anchor,A01_v2500_let15_y3p5,tuning_decision,codex,Try restart plus 8 threads and segmented pulse window,Reduce repeated ramp cost without changing physics,Valid restart and faster transient,Rejected because an ordinary Plot TDR is not a solver restart,0,180,private A01 attempt02,false,within_plan
E0011,2026-07-12T05:12:00+08:00,2026-07-12T05:25:03+08:00,anchor,A01_v2500_let15_y3p5,run,sdevice,Run A01 attempt02,Test the proposed restart path,Reach valid 2500 V transient,Failed at startup due to inconsistent Plot TDR state,2,11.24,private A01 attempt02,false,within_plan
